id,name,city,state,lat,lng
7934,Emelise Alpacas,Hampton,NJ,40.71638870239258,-74.9451675415039
7405,Colonial Alpacas,Williamstown,MA,42.69203186035156,-73.18183898925781
7376,Sunnyhill Alpacas,Leduc County,AB,53.29785054807022,-113.19639071541482
6146,Bluebird Hills Farm,Springfield,OH,39.97731018066406,-83.78389739990234
6757,Grand A Alpacas,Jasper,MN,43.85231018066406,-96.40447235107422
6254,Stachowski Alpacas LLC,Mantua,OH,41.34220886230469,-81.2220230102539
6660,Seven Hills Alpacas,Alexis,IL,41.101741790771484,-90.58882141113281
8113,LondonDairy Alpacas,Two Rivers,WI,44.180519104003906,-87.59986114501953
6414,Alpacas from MaRS,Snohomish,WA,47.99148941040039,-122.02184295654297
7914,Hemlock Hills Alpaca Farm,Livonia,NY,42.81378936767578,-77.5999984741211
6272,Coffee Pot Farm,Sherrodsville,OH,40.51874923706055,-81.21473693847656
6683,Aussie Acres Alpacas Inc,Loveland,CO,40.412811279296875,-105.00708770751953
7931,Alpacas of Wintercreek,Auburn,WA,47.261138916015625,-122.18528747558594
8181,Celebrity Sales,Philomath,OR,44.53049850463867,-123.37484741210938
8455,"Forest Glen Alpacas, LLC",Titusville,PA,41.30391274630197,-79.35708618164062
7334,Wilkins Livestock,Geneva,NE,40.52973937988281,-97.61390686035156
8140,Kraussdale Alpacas,East Greenville,PA,40.429969787597656,-75.48724365234375
6285,Wild Hair Alpacas LLC,Colorado Springs,CO,39.075260162353516,-104.7174301147461
7657,LaZyB Acres Alpacas,Bennett,CO,39.62186050415039,-104.43193817138672
7382,Eastland Alpacas,Mount Joy,PA,40.149349212646484,-76.51164245605469
6635,Open Gates Alpacas,Broadalbin,NY,43.129119873046875,-74.13542938232422
7644,Kendall Creek Farms Alpacas,Bradford,PA,41.93272018432617,-78.58116912841797
7843,Sugartown Farms,Ellicottville,NY,42.27095031738281,-78.66146087646484
7446,Loney's Alpaca Junction,Lake City,MI,44.38161849975586,-85.07563781738281
7380,Six Paca Farm,Bozrah,CT,41.55577087402344,-72.16532897949219
7104,"Flying Dutchman Alpacas, LLC",Bend,OR,44.175479888916016,-121.32396697998047
6144,"Heritage Farm Alpacas & Events, LLC",Flora,IN,40.53403091430664,-86.3564682006836
6621,Heritage Alpacas,Gaston,OR,45.41080856323242,-123.10098266601562
6141,Fair Winds Alpacas,Auburn,CA,38.9463005065918,-121.15142059326172
6727,Joyful Journey Alpacas LLC,Hayward,WI,46.07221984863281,-91.28904724121094
6462,Morgan's Fortunato Farm,Waverly,WV,39.269859313964844,-81.3047103881836
6810,Anvil Alpacas,Belleville,KS,39.81975173950195,-97.62602233886719
8028,Rodgers' Reserve Alpaca Farm,Greenwich,OH,40.93130111694336,-82.48313903808594
8398,Alpaca Bella Suri Farm,Morrow,OH,39.35100173950195,-84.15706634521484
7001,Rancho Alamogordo Alpacas,Elizabeth,CO,39.40467834472656,-104.6478271484375
7347,Salt River Alpacas,Paris,MO,39.52415084838867,-91.99198913574219
8224,Limestone Creek Alpacas,Cazenovia,NY,42.942928314208984,-75.90733337402344
6525,Stagecoach Trails Alpacas LLC,Middletown,NY,41.51654815673828,-74.36399841308594
7074,Morning SKY Farm,Clarks Mills,PA,41.41732232053998,-80.18896818161011
6830,Wildwood Alpacas,Woodford,VA,38.15385055541992,-77.3901596069336
6503,North River Alpacas,Norwalk,IA,41.4570198059082,-93.60357666015625
7296,Island Alpaca Co of Martha's Vineyard,Vineyard Haven,MA,41.42377853393555,-70.6102523803711
